4,5,6,7,8,9,10
79.1,7.0,14.0,0.0,0.0,0.0,0.0
51.5,27.6,14.2,3.7,2.2,0.7,0.0
54.3,25.7,11.2,5.1,1.4,1.8,0.4
50.8,31.3,8.2,5.0,1.3,2.5,0.9
39.3,13.1,6.5,1.9,35.5,1.9,1.9
,,,,,,
29.0,15.2,10.2,3.0,40.3,1.3,1.0
43.2,19.1,8.6,3.1,25.3,0.3,0.3
16.8,14.4,10.2,4.8,49.7,3.6,0.6
18.4,23.3,21.9,7.3,25.7,3.3,0.0
18.4,16.1,18.4,4.6,39.1,3.4,0.0
21.3,18.9,17.1,4.3,32.0,6.1,0.3
18.1,22.0,10.2,5.1,40.9,2.0,1.6
13.6,19.1,20.0,6.9,38.8,1.0,0.6
19.7,18.4,17.1,7.0,34.5,2.0,1.5
37.8,21.7,12.9,2.9,22.8,1.4,0.5
0.0,0.0,2.2,92.0,3.3,2.2,0.4
0.0,0.0,0.3,91.8,2.4,4.7,0.8
0.0,0.0,0.6,91.5,4.0,2.8,1.2
0.0,0.0,1.1,83.7,2.1,13.0,0.0
0.0,0.0,0.7,92.7,5.1,1.3,0.2
0.0,0.0,1.9,91.6,5.2,0.6,0.6
0.0,0.0,0.0,88.2,11.8,0.0,0.0
0.0,0.0,0.0,92.5,6.3,1.3,0.0
0.0,0.0,0.4,88.1,1.5,9.7,0.4
0.0,0.0,0.0,83.9,4.3,10.2,1.6
0.0,0.0,1.2,86.0,3.3,9.3,0.3
0.0,0.0,0.0,84.0,5.3,9.2,1.5
0.0,0.4,0.4,89.6,6.3,0.9,2.5
0.0,0.8,0.6,90.9,4.6,3.1,0.0
0.0,0.0,0.5,93.4,4.4,0.7,1.0
0.0,0.0,1.1,89.2,6.9,2.4,0.4
0.0,0.0,1.0,78.2,19.6,1.0,0.2
0.0,0.0,0.6,72.4,25.6,0.8,0.6
0.0,0.2,0.7,71.3,25.2,2.3,0.4
0.0,0.0,0.5,83.9,11.9,2.5,1.1
0.0,0.2,0.7,55.5,40.9,2.0,0.7
0.0,0.0,0.0,83.3,8.3,8.3,0.0
0.0,0.0,0.6,58.7,39.1,0.9,0.6
0.0,0.2,0.5,83.8,14.1,0.9,0.5
0.0,0.0,1.0,72.9,22.5,2.9,0.7
0.0,0.6,0.6,79.8,15.2,3.9,0.0
0.0,0.0,1.3,77.6,15.8,3.3,2.0
0.0,0.0,0.5,78.9,16.3,3.4,0.7
0.0,0.0,0.4,53.6,42.3,1.1,2.6
0.0,0.0,0.4,61.5,36.0,1.8,0.4
0.0,0.0,0.1,55.0,42.5,1.1,1.3
0.0,0.0,0.6,69.1,27.8,1.6,0.9
0.0,0.0,1.7,87.1,5.1,5.6,0.6
0.0,0.0,0.4,90.9,2.2,5.3,1.1
0.0,0.0,0.9,85.2,4.7,7.8,1.5
0.0,0.0,0.8,69.3,2.6,25.9,1.4
0.0,0.0,1.0,90.5,5.9,1.7,1.0
0.0,0.2,0.0,91.0,6.1,1.7,1.0
0.0,0.1,0.8,93.3,3.9,0.5,1.4
0.0,0.0,1.2,87.4,8.1,3.0,0.3
